Date,Calories,Km,FlightsClimbed,Steps (count),StepLengthcm
5-Jan-20,465,10.851,260,15570,70
6-Jan-20,57,1.724,10,2796,62
7-Jan-20,482,11.235,37,18945,59
8-Jan-20,71,2.046,11,3303,62
9-Jan-20,58,1.765,10,2833,62
10-Jan-20,61,1.828,11,2890,63
11-Jan-20,123,3.218,6,5075,63
12-Jan-20,238,5.778,24,9092,64
13-Jan-20,106,2.832,16,4490,63
14-Jan-20,82,2.301,7,3763,61
15-Jan-20,106,2.837,6,4631,61
16-Jan-20,56,1.702,9,2720,63
17-Jan-20,73,2.092,11,3378,62
18-Jan-20,87,2.409,11,3816,63
19-Jan-20,127,3.291,9,5199,63
20-Jan-20,29,1.112,6,1754,63
21-Jan-20,71,2.057,11,3253,63
22-Jan-20,25,1.009,8,1614,63
23-Jan-20,52,1.618,10,2587,63
24-Jan-20,108,2.864,12,4593,62
25-Jan-20,150,3.819,6,6086,63
26-Jan-20,111,2.931,3,4751,62
27-Jan-20,41,1.366,9,2188,62
28-Jan-20,39,1.324,11,2138,62
29-Jan-20,55,1.695,6,2597,65
30-Jan-20,46,1.492,7,2373,63
31-Jan-20,112,2.956,8,4626,64
1-Feb-20,141,3.618,8,5902,61
2-Feb-20,86,2.386,4,3773,63
3-Feb-20,59,1.776,9,2871,62
4-Feb-20,282,6.754,17,10098,67
5-Feb-20,78,2.211,10,3402,65
6-Feb-20,49,1.549,11,2530,61
7-Feb-20,91,2.483,9,3962,63
8-Feb-20,235,5.709,12,9440,60
9-Feb-20,322,7.651,41,12459,61
10-Feb-20,131,3.380,18,5168,65
11-Feb-20,184,4.571,12,6832,67
12-Feb-20,276,6.619,19,8249,80
13-Feb-20,165,4.156,13,6519,64
14-Feb-20,159,4.010,10,6475,62
15-Feb-20,74,2.112,1,3384,62
16-Feb-20,115,3.021,11,4844,62
17-Feb-20,156,3.956,11,5943,67
18-Feb-20,120,3.151,18,4803,66
19-Feb-20,154,3.896,8,6067,64
20-Feb-20,103,2.772,13,4342,64
21-Feb-20,170,4.251,11,6749,63
22-Feb-20,192,4.759,12,7805,61
23-Feb-20,82,2.288,14,3712,62
24-Feb-20,120,3.146,13,4612,68
25-Feb-20,161,4.049,13,6374,64
26-Feb-20,179,4.469,12,6969,64
27-Feb-20,121,3.165,15,4925,64
28-Feb-20,142,3.639,11,5617,65
29-Feb-20,167,4.185,24,6547,64
1-Mar-20,129,3.349,8,5179,65
2-Mar-20,122,3.175,7,4770,67
3-Mar-20,196,4.843,19,7332,66
4-Mar-20,128,3.324,14,5198,64
5-Mar-20,185,4.582,18,6928,66
6-Mar-20,141,3.602,14,5567,65
7-Mar-20,186,4.620,11,7373,63
8-Mar-20,65,1.909,17,3172,60
9-Mar-20,130,3.359,7,5363,63
10-Mar-20,93,2.538,8,3771,67
11-Mar-20,100,2.695,10,3982,68
12-Mar-20,165,4.156,16,6190,67
13-Mar-20,118,3.097,10,4648,67
14-Mar-20,284,6.815,52,10235,67
15-Mar-20,255,6.165,44,9225,67
16-Mar-20,209,5.131,25,7973,64
17-Mar-20,365,8.621,66,12664,68
18-Mar-20,224,5.470,29,8003,68
19-Mar-20,254,6.124,52,9810,62
20-Mar-20,48,1.521,2,2320,66
21-Mar-20,144,3.677,2,5652,65
22-Mar-20,218,5.340,103,8281,64
23-Mar-20,37,1.295,6,2204,59
24-Mar-20,0,0.305,5,429,71
25-Mar-20,0,0.411,7,583,70
26-Mar-20,20,0.918,12,1390,66
27-Mar-20,20,0.898,7,1358,66
28-Mar-20,195,4.809,14,5433,89
29-Mar-20,165,4.141,9,6846,60
30-Mar-20,157,3.969,8,4196,95
31-Mar-20,281,6.747,19,7499,90
1-Apr-20,27,1.058,10,1617,65
2-Apr-20,173,4.328,9,4383,99
3-Apr-20,17,0.832,6,1326,63
4-Apr-20,258,6.217,15,6702,93
5-Apr-20,140,3.599,22,5768,62
6-Apr-20,213,5.224,14,6041,86
7-Apr-20,386,9.079,9,9993,91
8-Apr-20,18,0.867,10,1431,61
9-Apr-20,16,0.823,6,1314,63
10-Apr-20,303,7.225,22,8502,85
11-Apr-20,99,2.661,8,4465,60
12-Apr-20,83,2.309,10,3560,65
13-Apr-20,193,4.778,8,5040,95
14-Apr-20,240,5.828,13,5822,100
15-Apr-20,10,0.674,5,1129,60
16-Apr-20,130,3.373,11,3835,88
17-Apr-20,24,0.993,7,1554,64
18-Apr-20,347,8.221,17,9649,85
19-Apr-20,74,2.121,9,3366,63
20-Apr-20,373,8.795,14,9451,93
21-Apr-20,0,0.353,5,511,69
22-Apr-20,143,3.665,5,3719,99
23-Apr-20,293,7.012,16,6739,104
24-Apr-20,4,0.553,3,852,65
25-Apr-20,659,15.186,348,21195,72
26-Apr-20,16,0.811,9,1194,68
27-Apr-20,0,0.273,3,403,68
28-Apr-20,0,0.467,4,658,71
29-Apr-20,0,0.335,3,532,63
30-Apr-20,18,0.857,7,1317,65
1-May-20,18,0.856,5,1315,65
2-May-20,27,1.056,11,1539,69
3-May-20,408,9.585,94,13996,68
4-May-20,351,8.306,103,12136,68
5-May-20,20,0.914,5,1392,66
6-May-20,35,1.251,10,1918,65
7-May-20,28,1.078,3,1640,66
8-May-20,235,5.717,8,6362,90
9-May-20,41,1.366,14,2060,66
10-May-20,87,2.409,10,3868,62
11-May-20,308,7.345,23,8240,89
12-May-20,0,0.326,3,460,71
13-May-20,198,4.874,5,4683,104
14-May-20,443,10.347,27,10862,95
15-May-20,6,0.597,5,891,67
16-May-20,37,1.296,8,2035,64
17-May-20,165,4.153,35,6272,66
18-May-20,247,5.985,173,9288,64
19-May-20,0,0.346,5,499,69
20-May-20,239,5.808,13,5584,104
21-May-20,382,9.001,145,12600,71
22-May-20,27,1.066,8,1600,67
23-May-20,14,0.763,5,1198,64
24-May-20,43,1.417,13,2185,65
25-May-20,0,0.304,2,425,71
26-May-20,141,3.608,7,3603,100
27-May-20,0,0.252,2,357,71
28-May-20,0,0.429,3,633,68
29-May-20,273,6.560,13,6859,96
30-May-20,40,1.362,5,2212,62
31-May-20,2,0.509,5,779,65
1-Jun-20,385,9.056,243,13194,69
2-Jun-20,14,0.776,6,1226,63
3-Jun-20,22,0.955,6,1484,64
4-Jun-20,6,0.590,6,885,67
5-Jun-20,7,0.623,3,986,63
6-Jun-20,187,4.629,17,7421,62
7-Jun-20,146,3.715,3,6099,61
8-Jun-20,105,2.811,56,3421,82
9-Jun-20,3,0.529,4,816,65
10-Jun-20,215,5.269,9,5324,99
11-Jun-20,17,0.829,6,1257,66
12-Jun-20,36,1.272,11,2008,63
13-Jun-20,105,2.805,11,4327,65
14-Jun-20,135,3.484,5,5775,60
15-Jun-20,6,0.603,6,920,66
16-Jun-20,36,1.273,7,1932,66
17-Jun-20,47,1.514,3,2393,63
18-Jun-20,126,3.276,28,5318,62
19-Jun-20,198,4.884,11,7591,64
20-Jun-20,132,3.412,6,5356,64
21-Jun-20,62,1.846,8,2877,64
22-Jun-20,118,3.101,5,4835,64
23-Jun-20,30,1.133,9,1720,66
24-Jun-20,182,4.518,32,6628,68
25-Jun-20,25,1.010,5,1602,63
26-Jun-20,297,7.095,116,10579,67
27-Jun-20,28,1.087,8,1691,64
28-Jun-20,475,11.061,250,15996,69
29-Jun-20,29,1.114,9,1813,61
30-Jun-20,52,1.627,5,2473,66
1-Jul-20,34,1.228,10,1941,63
2-Jul-20,339,8.044,127,10687,75
3-Jul-20,39,1.337,4,2104,64
4-Jul-20,56,1.704,8,2698,63
5-Jul-20,198,4.881,21,7178,68
6-Jul-20,16,0.821,9,1242,66
7-Jul-20,46,1.498,6,2448,61
8-Jul-20,4,0.549,3,844,65
9-Jul-20,7,0.626,5,886,71
10-Jul-20,33,1.193,1,1931,62
11-Jul-20,91,2.488,9,3788,66
12-Jul-20,145,3.702,17,5849,63
13-Jul-20,70,2.030,5,3134,65
14-Jul-20,285,6.832,10,10122,67
15-Jul-20,95,2.581,9,3952,65
16-Jul-20,4,0.556,7,781,71
17-Jul-20,200,4.936,5,5177,95
18-Jul-20,59,1.788,5,2758,65
19-Jul-20,21,0.934,7,1411,66
20-Jul-20,120,3.143,11,5076,62
21-Jul-20,121,3.161,2,5001,63
22-Jul-20,117,3.079,0,4622,67
23-Jul-20,149,3.794,7,5864,65
24-Jul-20,278,6.681,2,9345,71
25-Jul-20,137,3.511,8,5451,64
26-Jul-20,193,4.768,4,7563,63
27-Jul-20,170,4.260,9,6225,68
28-Jul-20,205,5.046,9,7583,67
29-Jul-20,228,5.560,5,8647,64
30-Jul-20,0,0.471,4,686,69
31-Jul-20,0,0.323,3,456,71
1-Aug-20,29,1.118,3,1665,67
2-Aug-20,202,4.973,38,6511,76
3-Aug-20,522,12.127,172,18942,64
4-Aug-20,139,3.560,4,5484,65
5-Aug-20,19,0.894,6,1361,66
6-Aug-20,162,4.080,24,5965,68
7-Aug-20,17,0.848,7,1263,67
8-Aug-20,257,6.195,13,7547,82
9-Aug-20,158,4.000,8,6109,65
10-Aug-20,22,0.946,9,1457,65
11-Aug-20,274,6.575,17,6950,95
12-Aug-20,265,6.391,13,6167,104
13-Aug-20,35,1.232,8,1816,68
14-Aug-20,624,14.405,9,21454,67
15-Aug-20,123,3.209,6,5014,64
16-Aug-20,41,1.378,11,2040,68
17-Aug-20,54,1.660,11,2489,67
18-Aug-20,94,2.555,6,3805,67
19-Aug-20,71,2.041,11,3037,67
20-Aug-20,73,2.093,15,3223,65
21-Aug-20,502,11.674,48,18339,64
22-Aug-20,66,1.924,10,3169,61
23-Aug-20,39,1.327,6,2146,62
24-Aug-20,80,2.257,12,3477,65
25-Aug-20,27,1.074,8,1597,67
26-Aug-20,208,5.111,7,5574,92
27-Aug-20,37,1.288,4,1997,64
28-Aug-20,339,8.037,15,9090,88
29-Aug-20,63,1.871,5,2946,64
30-Aug-20,419,9.821,42,14491,68
31-Aug-20,0,0.457,2,704,65
1-Sep-20,448,10.469,213,15760,66
2-Sep-20,202,4.971,4,4972,100
3-Sep-20,8,0.638,4,943,68
4-Sep-20,114,3.018,39,4974,61
5-Sep-20,156,3.938,9,5967,66
6-Sep-20,16,0.814,7,1264,64
7-Sep-20,175,4.374,7,6450,68
8-Sep-20,250,6.054,9,6090,99
9-Sep-20,15,0.795,5,1262,63
10-Sep-20,201,4.947,12,5083,97
11-Sep-20,8,0.649,2,1069,61
12-Sep-20,141,3.605,8,5840,62
13-Sep-20,105,2.798,13,4580,61
14-Sep-20,59,1.785,11,2717,66
15-Sep-20,47,1.520,6,2458,62
16-Sep-20,1070,24.366,205,32952,74
17-Sep-20,0,0.139,1,220,63
18-Sep-20,4,0.546,1,876,62
19-Sep-20,94,2.556,8,4122,62
20-Sep-20,72,2.070,4,3315,62
21-Sep-20,52,1.625,5,2457,66
22-Sep-20,265,6.385,5,10555,60
23-Sep-20,118,3.100,63,3953,78
24-Sep-20,12,0.734,5,1051,70
25-Sep-20,174,4.337,29,6935,63
26-Sep-20,284,6.796,28,10487,65
27-Sep-20,274,6.587,22,9722,68
28-Sep-20,13,0.743,7,1170,64
29-Sep-20,21,0.932,5,1492,62
30-Sep-20,3,0.533,4,832,64
1-Oct-20,43,1.415,13,2233,63
2-Oct-20,21,0.933,7,1411,66
3-Oct-20,0,0.267,4,366,73
4-Oct-20,0,0.362,3,509,71
5-Oct-20,0,0.309,3,434,71
6-Oct-20,0,0.281,3,400,70
7-Oct-20,20,0.909,7,1369,66
8-Oct-20,5,0.577,6,856,67
9-Oct-20,0,0.246,1,358,69
10-Oct-20,0,0.125,2,179,70
11-Oct-20,158,3.989,7,6249,64
12-Oct-20,24,0.991,8,1599,62
13-Oct-20,32,1.178,9,1826,65
14-Oct-20,15,0.804,5,1245,65
15-Oct-20,29,1.112,8,1733,64
16-Oct-20,81,2.272,6,3686,62
17-Oct-20,385,9.060,206,13175,69
18-Oct-20,0,0.461,4,764,60
19-Oct-20,6,0.602,3,955,63
20-Oct-20,20,0.918,9,1399,66
21-Oct-20,0,0.363,5,563,65
22-Oct-20,24,1.004,9,1524,66
23-Oct-20,42,1.409,6,2226,63
24-Oct-20,229,5.573,9,8794,63
25-Oct-20,222,5.431,87,7863,69
26-Oct-20,66,1.926,41,2769,70
27-Oct-20,13,0.742,8,1231,60
28-Oct-20,81,2.264,48,3301,69
29-Oct-20,44,1.442,4,2367,61
30-Oct-20,29,1.101,7,1814,61
31-Oct-20,184,4.565,13,7175,64
1-Nov-20,137,3.518,11,5362,66
2-Nov-20,94,2.550,57,3503,73
3-Nov-20,10,0.687,7,1173,59
4-Nov-20,132,3.408,85,5233,65
5-Nov-20,25,1.028,9,1691,61
6-Nov-20,97,2.632,56,3779,70
7-Nov-20,97,2.626,8,4238,62
8-Nov-20,45,1.455,10,2358,62
9-Nov-20,29,1.099,7,1756,63
10-Nov-20,107,2.852,69,3971,72
11-Nov-20,23,0.982,4,1578,62
12-Nov-20,19,0.885,6,1381,64
13-Nov-20,123,3.213,64,4473,72
14-Nov-20,121,3.154,7,4936,64
15-Nov-20,169,4.240,12,6396,66
16-Nov-20,27,1.055,9,1671,63
17-Nov-20,70,2.030,12,3189,64
18-Nov-20,182,4.520,80,7030,64
19-Nov-20,24,1.006,7,1637,61
20-Nov-20,52,1.630,11,2699,60
21-Nov-20,92,2.512,21,4014,63
22-Nov-20,132,3.409,13,5396,63
23-Nov-20,53,1.651,13,2759,60
24-Nov-20,50,1.577,16,2565,61
25-Nov-20,164,4.123,54,5988,69
26-Nov-20,74,2.106,11,3412,62
27-Nov-20,63,1.872,12,3083,61
28-Nov-20,58,1.760,8,2739,64
29-Nov-20,74,2.117,7,3309,64
30-Nov-20,11,0.702,7,1181,59
1-Dec-20,12,0.737,7,1181,62
2-Dec-20,15,0.799,10,1336,60
3-Dec-20,23,0.982,6,1603,61
4-Dec-20,29,1.117,9,1818,61
5-Dec-20,90,2.461,10,3940,62
6-Dec-20,34,1.219,5,1972,62
7-Dec-20,54,1.661,14,2692,62
8-Dec-20,26,1.034,6,1688,61
9-Dec-20,76,2.163,7,3638,59
10-Dec-20,74,2.103,12,3384,62
11-Dec-20,69,2.013,13,3296,61
12-Dec-20,91,2.485,6,3773,66
13-Dec-20,24,0.991,8,1564,63
14-Dec-20,2,0.500,3,818,61
15-Dec-20,122,3.195,24,5021,64
16-Dec-20,83,2.315,19,3599,64
17-Dec-20,265,6.387,13,7290,88
18-Dec-20,160,4.032,14,6346,64
19-Dec-20,122,3.177,7,5062,63
20-Dec-20,55,1.694,7,2810,60
21-Dec-20,86,2.383,7,3975,60
23-Dec-20,0,0.008,0,13,63
24-Dec-20,14,0.762,3,1221,62
25-Dec-20,112,2.962,5,4838,61
26-Dec-20,111,2.943,10,4744,62
27-Dec-20,81,2.267,8,3473,65
28-Dec-20,46,1.479,8,2413,61
29-Dec-20,216,5.286,8,6885,77
30-Dec-20,95,2.580,12,4190,62
31-Dec-20,222,5.411,20,8625,63
1-Jan-21,174,4.358,14,7016,62
2-Jan-21,120,3.146,4,5147,61
3-Jan-21,37,1.290,8,2175,59
4-Jan-21,356,8.406,23,9680,87
5-Jan-21,152,3.865,6,6256,62
6-Jan-21,193,4.780,9,7469,64
7-Jan-21,215,5.262,25,8416,63
8-Jan-21,67,1.954,8,3064,64
9-Jan-21,137,3.523,10,5373,66
10-Jan-21,222,5.409,56,8754,62
11-Jan-21,408,9.571,15,10538,91
12-Jan-21,57,1.739,7,2918,60
13-Jan-21,259,6.240,21,7299,85
14-Jan-21,64,1.887,9,3165,60
15-Jan-21,120,3.144,9,5341,59
16-Jan-21,70,2.032,8,3345,61
17-Jan-21,83,2.307,8,3835,60
18-Jan-21,123,3.217,7,5293,61
19-Jan-21,614,14.186,24,15478,92
20-Jan-21,70,2.030,9,3320,61
21-Jan-21,350,8.278,14,9694,85
22-Jan-21,106,2.824,12,4588,62
23-Jan-21,131,3.392,17,5181,65
24-Jan-21,129,3.345,5,5198,64
25-Jan-21,637,14.697,51,14413,102
26-Jan-21,136,3.500,57,5544,63
27-Jan-21,281,6.735,16,6804,99
28-Jan-21,50,1.586,10,2573,62
29-Jan-21,91,2.492,12,3897,64
30-Jan-21,325,7.716,19,11007,70
31-Jan-21,169,4.238,21,6664,64
1-Feb-21,182,4.521,55,7138,63
2-Feb-21,247,5.980,13,5670,105
3-Feb-21,39,1.341,8,2167,62
4-Feb-21,374,8.826,11,12247,72
5-Feb-21,132,3.410,12,5347,64
6-Feb-21,79,2.230,8,3419,65
7-Feb-21,86,2.374,7,3791,63
8-Feb-21,58,1.752,11,2930,60
9-Feb-21,76,2.152,7,3457,62
10-Feb-21,29,1.109,7,1721,64
11-Feb-21,61,1.834,14,2968,62
12-Feb-21,37,1.276,11,2086,61
13-Feb-21,213,5.226,16,8232,63
14-Feb-21,61,1.831,4,2829,65
15-Feb-21,44,1.447,17,2437,59
16-Feb-21,102,2.733,14,4444,61
17-Feb-21,96,2.605,12,4543,57
18-Feb-21,25,1.027,8,1639,63
19-Feb-21,107,2.846,10,4862,59
20-Feb-21,69,1.999,10,3271,61
21-Feb-21,31,1.160,3,1761,66
22-Feb-21,143,3.647,31,5437,67
23-Feb-21,171,4.285,17,6017,71
24-Feb-21,44,1.446,9,2326,62
25-Feb-21,164,4.113,12,5976,69
26-Feb-21,148,3.763,8,5635,67
27-Feb-21,219,5.354,13,8678,62
28-Feb-21,206,5.055,13,8374,60
1-Mar-21,38,1.320,9,2086,63
2-Mar-21,273,6.551,11,9749,67
3-Mar-21,244,5.921,29,8888,67
4-Mar-21,111,3.009,12,4472,67
5-Mar-21,120,2.183,8,3294,66
6-Mar-21,62,1.843,11,2914,63
7-Mar-21,105,2.814,7,4537,62
8-Mar-21,172,4.313,10,5586,77
9-Mar-21,58,1.765,5,2857,62
10-Mar-21,136,3.506,8,4857,72
11-Mar-21,205,5.048,11,6998,72
12-Mar-21,214,5.241,12,7577,69
13-Mar-21,111,2.950,8,4714,63
14-Mar-21,279,6.700,9,9752,69
15-Mar-21,149,3.796,6,5457,70
16-Mar-21,64,1.881,10,2712,69
17-Mar-21,216,5.277,14,6314,84
18-Mar-21,156,3.953,9,5475,72
19-Mar-21,248,6.010,18,7201,83
20-Mar-21,245,5.934,13,9436,63
21-Mar-21,356,8.403,11,12674,66
22-Mar-21,292,6.992,14,8526,82
23-Mar-21,329,7.813,14,10867,72
24-Mar-21,394,9.266,13,11587,80
25-Mar-21,279,6.683,50,9040,74
26-Mar-21,316,7.510,12,10556,71
27-Mar-21,127,3.290,9,5044,65
28-Mar-21,413,9.697,16,12540,77
29-Mar-21,140,3.589,30,5469,66
30-Mar-21,135,3.474,15,5378,65
31-Mar-21,247,5.969,7,8534,70
1-Apr-21,295,7.046,6,10307,68
2-Apr-21,191,4.732,71,7538,63
3-Apr-21,282,6.764,77,10311,66
4-Apr-21,363,5.721,11,9105,63
5-Apr-21,220,3.004,44,4658,64
6-Apr-21,340,5.110,10,7515,68
7-Apr-21,398,5.984,11,7057,85
8-Apr-21,416,6.242,10,8281,75
9-Apr-21,356,5.467,11,8072,68
10-Apr-21,192,2.891,4,4586,63
11-Apr-21,153,2.291,5,3479,66
12-Apr-21,422,6.336,67,8659,73
13-Apr-21,290,4.359,9,6169,71
14-Apr-21,273,6.551,9,9640,68
15-Apr-21,506,7.591,12,10399,73
16-Apr-21,487,7.317,24,9508,77
17-Apr-21,621,9.318,4,12868,72
18-Apr-21,617,9.265,13,14734,63
19-Apr-21,73,1.103,10,1803,61
20-Apr-21,63,0.946,8,1551,61
21-Apr-21,406,6.089,10,7942,77
22-Apr-21,79,1.192,10,1930,62
23-Apr-21,88,1.324,9,2121,62
24-Apr-21,162,2.449,4,3890,63
25-Apr-21,164,2.460,11,3711,66
26-Apr-21,510,7.651,11,8399,91
27-Apr-21,343,5.158,73,7144,72
28-Apr-21,135,2.024,6,3082,66
29-Apr-21,673,10.111,14,12160,83
30-Apr-21,500,7.635,86,10252,74
1-May-21,150,2.245,12,3557,63
2-May-21,182,2.741,12,4374,63
3-May-21,738,11.086,96,15094,73
4-May-21,239,3.583,9,4771,75
5-May-21,684,10.265,11,12321,83
6-May-21,250,3.759,86,4755,79
7-May-21,78,1.174,9,1904,62
8-May-21,163,2.458,15,4002,61
9-May-21,525,7.895,11,9497,83
10-May-21,504,7.593,88,10073,75
11-May-21,240,3.594,9,4944,73
12-May-21,496,7.444,16,8733,85
13-May-21,67,1.003,10,1486,68
