PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PELHAM BAY PARK,2771.747,11.22164777,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,2,0,3,0,7
VAN CORTLANDT PARK,1146.43,4.641417004,ONE ACRE OR LARGER,BRONX        ,110,142654,0,1,1,2,0,4,0,8
ROCKAWAY BEACH AND BOARDWALK,1072.564,4.342364372,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,2,1,3,0,7
FRESHKILLS PARK,913.32,3.697651822,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,897.69,3.63437247,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,9,16,7,13,3,48
LATOURETTE PARK & GOLF COURSE,843.97,3.416882591,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MARINE PARK,798,3.230769231,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,4,1,1,0,0,6
BELT PARKWAY/SHORE PARKWAY,760.43,3.078663968,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,2,0,2
BRONX PARK,718.373,2.908392713,ONE ACRE OR LARGER,BRONX        ,110,142654,1,0,17,7,0,4,0,29
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,644.35,2.608704453,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
ALLEY POND PARK,635.514,2.572931174,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
PROSPECT PARK,526.25,2.130566802,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,1,10,12,0,12,0,35
FOREST PARK,506.86,2.052064777,ONE ACRE OR LARGER,QUEENS       ,280,2405464,1,3,3,1,0,0,0,8
GRAND CENTRAL PARKWAY,460.16,1.862995951,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FERRY POINT PARK,413.8,1.675303644,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,1,0,2
CONEY ISLAND BEACH & BOARDWALK,399.203,1.616206478,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,1,10,10,0,14,0,35
CUNNINGHAM PARK,358,1.449392713,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,3,0,4
RICHMOND PARKWAY,350.983,1.420983806,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CROSS ISLAND PARKWAY,326.895,1.323461538,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GREAT KILLS PARK,315.094,1.275684211,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WOLFE'S POND PARK,302.693,1.225477733,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,1,0,1
